campaign_id,channel,budget,impressions,clicks,conversions,cost_per_click,roi
1,Google Ads,200,5000,100,10,1.5,1.8
2,Facebook Ads,201,5001,101,11,1.6,1.9
3,Instagram Ads,202,5002,102,12,1.7,2.0
4,LinkedIn Ads,203,5003,103,13,1.8,2.1
5,Twitter Ads,204,5004,104,14,1.9,2.2
6,Google Ads,205,5005,105,15,1.5,2.3
7,Facebook Ads,206,5006,106,16,1.6,2.4
8,Instagram Ads,207,5007,107,17,1.7,2.5
9,LinkedIn Ads,208,5008,108,18,1.8,2.6
10,Twitter Ads,209,5009,109,19,1.9,2.7
11,Google Ads,210,5010,110,20,1.5,1.8
12,Facebook Ads,211,5011,111,21,1.6,1.9
13,Instagram Ads,212,5012,112,22,1.7,2.0
14,LinkedIn Ads,213,5013,113,23,1.8,2.1
15,Twitter Ads,214,5014,114,24,1.9,2.2
16,Google Ads,215,5015,115,25,1.5,2.3
17,Facebook Ads,216,5016,116,26,1.6,2.4
18,Instagram Ads,217,5017,117,27,1.7,2.5
19,LinkedIn Ads,218,5018,118,28,1.8,2.6
20,Twitter Ads,219,5019,119,29,1.9,2.7
21,Google Ads,220,5020,120,30,1.5,1.8
22,Facebook Ads,221,5021,121,31,1.6,1.9
23,Instagram Ads,222,5022,122,32,1.7,2.0
24,LinkedIn Ads,223,5023,123,33,1.8,2.1
25,Twitter Ads,224,5024,124,34,1.9,2.2
26,Google Ads,225,5025,125,35,1.5,2.3
27,Facebook Ads,226,5026,126,36,1.6,2.4
28,Instagram Ads,227,5027,127,37,1.7,2.5
29,LinkedIn Ads,228,5028,128,38,1.8,2.6
30,Twitter Ads,229,5029,129,39,1.9,2.7
31,Google Ads,230,5030,130,40,1.5,1.8
32,Facebook Ads,231,5031,131,41,1.6,1.9
33,Instagram Ads,232,5032,132,42,1.7,2.0
34,LinkedIn Ads,233,5033,133,43,1.8,2.1
35,Twitter Ads,234,5034,134,44,1.9,2.2
36,Google Ads,235,5035,135,45,1.5,2.3
37,Facebook Ads,236,5036,136,46,1.6,2.4
38,Instagram Ads,237,5037,137,47,1.7,2.5
39,LinkedIn Ads,238,5038,138,48,1.8,2.6
40,Twitter Ads,239,5039,139,49,1.9,2.7
41,Google Ads,240,5040,140,50,1.5,1.8
42,Facebook Ads,241,5041,141,51,1.6,1.9
43,Instagram Ads,242,5042,142,52,1.7,2.0
44,LinkedIn Ads,243,5043,143,53,1.8,2.1
45,Twitter Ads,244,5044,144,54,1.9,2.2
46,Google Ads,245,5045,145,55,1.5,2.3
47,Facebook Ads,246,5046,146,56,1.6,2.4
